                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0449,                0.55575,                 1.0915,                0.77714,                0.83877,                0.87993,                0.64316,                  1.106,                0.53108,                 1.1436,              0.0081982,              0.0081982,              0.0081982
                     94,                   1.04,                0.55262,                 1.0903,                0.74943,                0.85914,                0.87849,                0.64069,                 1.1054,                0.53255,                 1.1437,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.0317,                0.55001,                 1.0868,                 0.7564,                  0.853,                0.87659,                0.63765,                 1.1062,                 0.5322,                 1.1445,              0.0081586,              0.0081586,              0.0081586
                     96,                  1.035,                0.55191,                 1.0858,                0.78342,                0.85376,                 0.8746,                 0.6363,                 1.1059,                0.53123,                 1.1442,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.0353,                0.54966,                 1.0862,                0.80806,                0.84332,                0.87597,                0.63272,                 1.1074,                0.53143,                 1.1447,               0.008119,               0.008119,               0.008119
                     98,                 1.0321,                0.54766,                 1.0838,                0.79276,                0.84482,                0.88009,                0.63705,                 1.1069,                0.53131,                 1.1441,              0.0080992,              0.0080992,              0.0080992
                     99,                  1.031,                0.54742,                 1.0835,                0.75684,                0.87423,                0.88249,                0.63775,                 1.1068,                0.53258,                 1.1443,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.0351,                0.54894,                 1.0858,                0.86659,                 0.7749,                0.88008,                0.64066,                 1.1057,                0.53244,                 1.1441,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.0351,                0.54752,                 1.0827,                0.74304,                0.87002,                0.88511,                0.64444,                 1.1054,                0.53232,                  1.144,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.0336,                 0.5464,                 1.0855,                0.80117,                0.85229,                0.88229,                0.64228,                 1.1065,                0.53324,                 1.1452,                0.00802,                0.00802,                0.00802
                    103,                 1.0214,                0.54044,                 1.0769,                0.76584,                0.85964,                0.88512,                0.64212,                 1.1062,                0.53402,                 1.1448,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.0195,                0.54029,                 1.0761,                0.79908,                0.86018,                0.88221,                0.64128,                 1.1066,                 0.5338,                 1.1452,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.0245,                0.54078,                 1.0783,                0.81577,                0.84853,                0.88094,                 0.6376,                  1.107,                0.53416,                 1.1459,              0.0079606,              0.0079606,              0.0079606
